words,definition
penalizing,<p>Penalizing một thuật toán học máy (machine leaning algorithm) về cơ bản có nghĩa là bạn không muốn thuật toán của mình bị overfitting đối với dữ liệu của bạn.</p>
penalization,"<p>Trong học máy (machine learning), penalization được sử dụng để tránh / giảm bớt overfitting của mô hình (model). Khái niệm penalization được thực hiện (implement) theo những cách khác nhau trong các thuật toán (algorithm) khác nhau ví dụ như mô hình hồi quy (regression model) sử dụng regularization.</p>"
hyperparameter tuning,<span> Điều chỉnh siêu tham số</span>
trial and error,<span> Thử và sai</span>
model tuning,<span> Tinh chỉnh mô hình</span>
early stopping,"<p>Early stopping là một loại của (regularization), nó  liên quan đến việc kết thúc huấn luyện (train) mô hình (model) trước khi training loss kết thúc việc giảm dần. Trong early stopping, bạn kết thúc huấn luyện mô hình khi loss trên tập tối ưu (validation set) bắt đầu tăng lên, tức là khi việc tổng quát hóa (generalization) xấu đi.</p>"
generalize,<span> Tổng quát hóa</span>
lambda,<p>Lambda trọng học máy (machine learning) cụ thể là trong regularization là từ đồng nghĩa với regularization rate.</p>
regularization rate,"<p>Regularization rate là một giá trị vô hướng (scalar value) được biểu diễn bằng lambda, xác định tầm quan trọng tương đối của hàm (function) regularization. Phương trình loss được đơn giản hóa sau đây cho thấy ảnh hưởng của regularization rate:</p>"
generalization curve,<span> Đường cong generalization</span>
L1 regularization,"<p>L1 regularization trong học máy (machine learning) là một loại regularization, trong đó nó penalize các trọng số (weight) tương ứng với tổng các giá trị tuyệt đối của các trọng số. Trong các mô hình dựa vào các đặc trưng thưa (sparse feature), L1 regularization giúp đẩy trọng số của các đăc trưng (feature) không liên quan hoặc hầu như không liên quan về chính xác 0, điều này sẽ loại bỏ các đặc trưng đó khỏi mô hình (model). Ngược lại với L2 regularization.</p>"
L2 regularization,"<p>L2 regularization là một loại của regularization, trong đó nó penalize các trọng số (weight) tương ứng với tổng bình phương của các trọng số. L2 regularization giúp đẩy trọng số của outlier (những giá trị có giá trị âm cao hoặc thấp) về gần 0 nhưng không hoàn toàn về 0. (Ngược lại với L1 regularization.) L2 regularization luôn cải thiện tính tổng quát hóa (generalization) trong mô hình tuyến tính (linear model).</p>"
computational complexity,<span> Độ phức tạp tính toán</span>
model complexity,<span> Độ phức tạp mô hình</span>
structural risk minimization,<p>Structural risk minimization (SRM) trong học máy (machine learning) là một thuật toán (algorithm) cân bằng hai mục tiêu:</p>
regularization,"<p>Regularization trong học máy (machine learning) là penalty đối với độ phức tạp của một mô hình (model). Regularization giúp ngăn chặn việc overfitting. Các loại regularization  khác nhau bao gồm: L1 regularization, L2 regularization, dropout regularization, early stopping.</p>"
tainted,<p>Tainted mô tả một kernel đang sử dụng các mô-đun độc quyền (proprietary) ngoài các mô-đun nguồn mở (open source).</p>
man page,<p>Man page là tài liệu (documentation) có thể truy cập từ shell mô tả một lệnh (command) và cách nó nên được sử dụng.</p>
kernel panic,<p>Kernel panic là thông báo lỗi (error message) xuất hiện khi chương trình kernel trong Linux không thể tiếp tục hoạt động. Nói cách khác nó chỉ ra sự cố (crash) hoặc thường xuyên hơn là vấn đề phát sinh do người dùng định cấu hình sai (misconfiguration). Điều này thường thấy nhất khi khởi động (boot up) sau khi thực hiện các thay đổi không đúng đối với hệ thống (system).</p>
init,<p>Init là chương trình tự động chạy sau khi kernel  tải xong. Nó chịu trách nhiệm khởi động hệ điều hành.</p>
hack,"<p>Hack là mã nguồn (source code) của một chương trình. Ví dụ, cụm từ ""it must be done through a hack"" nghĩa tiếng việt là ""nó phải được thực hiện thông qua một hack"" có nghĩa là ai đó phải viết mã để giải quyết vấn đề vì không có phần mềm viết sẵn nào thực hiện công việc này.</p>"
hack,"<p>Là một động từ, hack đề cập đến việc viết một chương trình nhỏ hoặc thêm mã vào một chương trình hiện có để giải quyết một vấn đề trong lúc vội vàng. </p>"
hack,<p>Hack là một sự thay đổi phần cứng hoặc phần mềm không được nhà sản xuất (manufacturer) hoặc nhà phát triển (developer) chấp thuận để khiến nó thực hiện điều mà họ không dự định làm. Hack làm mất hiệu lực bảo hành của bạn và ngăn bạn nhận được sự hỗ trợ của nhà sản xuất.</p>
guru,"<p>Guru là người có kinh nghiệm và hiểu biết trong một lĩnh vực (ví dụ Linux) và sẵn sàng chia sẻ kiến thức của mình với người khác. Trong một thế giới hoàn hảo, mỗi người mới (newbie) sẽ có guru của riêng mình.</p>"
distribution,<span> Bản phân phối</span>
sysadmin,<span> Quản trị viên hệ thống</span>
stderr,"<p>Stderr còn được gọi là standard error là file descriptor mặc định mà một tiến trình (process) có thể ghi các thông báo lỗi (error message). Trong các hệ điều hành giống Unix, chẳng hạn như Linux, macOS X và BSD, stderr được định nghĩa theo tiêu chuẩn POSIX. Số file descriptor mặc định của nó là 2. Trong terminal, standard error được mặc định trên màn hình của người dùng.</p>"
background program,<span> Chương trình nền</span>
remote,<span> Từ xa</span>
similarity measure,<span> Đo lường sự tương tự</span>
unsupervised anomaly detection,<span> Phát hiện bất thường không có giám sát</span>
supervised anomaly detection,<span> Phát hiện bất thường có giám sát</span>
collective anomaly,"<p>Collective anomaly là thuật ngữ để chỉ một tập hợp các thể hiện (instance) của dữ liệu bất thường có liên quan. Các điểm dữ liệu đơn lẻ (data point) trong một collective anomaly có thể không được coi là bất thường (anomaly), nhưng sự xuất hiện của các điểm đơn lẻ này cùng nhau cho thấy một bất thường.</p>"
contextual anomaly,<p>Một quan sát (observation) là một bất thường theo ngữ cảnh (contextual anomaly) nếu nó là một sự bất thường do bối cảnh của quan sát.</p>
point anomaly,<p>Một tuple trong tập dữ liệu (dataset) được cho là  point anomaly nếu nó khác xa với phần còn lại của dữ liệu.</p>
no correlation,<span> Không tương quan</span>
negative correlation,<span> Tương quan nghịch biến</span>
positive correlation,<span> Tương quan đồng biến</span>
dummy variable trap,"<p>Dummy variable trap là một tình huống trong đó có các thuộc tính (attribute) có tương quan cao (đa cộng tuyến - multicollinearity) và một biến (variable) dự đoán giá trị của các biến khác. Khi chúng ta sử dụng one-hot encoding để xử lý dữ liệu phân loại (categorical data), thì một biến giả (dummy variable) có thể được dự đoán với sự trợ giúp của các biến giả khác. Do đó, một biến giả có tương quan cao với các biến giả khác. Việc sử dụng tất cả các biến giả cho mô hình hồi quy (regression model) dẫn đến một dummy variable trap. Vì vậy, các mô hình hồi quy nên được thiết kế để loại trừ một biến giả.</p>"
multicollinearity,<span> Đa cộng tuyến</span>
category,"<span> Nhóm, lớp</span>"
dummy variable,<span> Biến giả</span>
anomaly detection,<span> Phát hiện bất thường</span>
one-hot vector,"<p>Trong xử lý ngôn ngữ tự nhiên (natural language processing), one-hot vector là ma trận 1 × N (vectơ) được sử dụng để phân biệt từng từ (word) trong một từ vựng (vocabulary) với mọi từ khác trong từ vựng. Vectơ bao gồm các số 0 trong tất cả các ô, ngoại trừ một số 1 duy nhất trong ô được sử dụng duy nhất để xác định từ. One-hot encoding bảo rằng học máy (machine learning) không cho rằng các số cao hơn là quan trọng hơn. Ví dụ: giá trị ""8"" lớn hơn giá trị ""1"", nhưng điều đó không làm cho ""8"" quan trọng hơn ""1"". Điều này cũng đúng với từ: giá trị 'laughter' không quan trọng hơn 'laugh'.</p>"
domain knowledge,<span> Kiến thức nghiệp vụ</span>
OVV,<p>OVV viết tắt của out-of-vocabulary.</p>
out-of-vocabulary,"<p>Out-of-vocabulary (OVV) là tình huống trong trong xử lý ngôn ngữ tự nhiên (NLP), khi những từ (word) không nằm trong tập dữ liệu huấn luyện (training set) trong dữ liệu thực, điều này gây ra vấn đề. Có nhiều kỹ thuật khác nhau để tránh xác suất bằng không bao gồm smoothing  và thay thế từ bằng một từ đồng nghĩa.</p>"
n-gram,"<p>N-gram có nghĩa là một chuỗi N từ (word). Ví dụ: ""Medium blog"" là 2-gam (bigram),  ""A Medium blog post"" là 4-gam và ""Write on Medium"" là 3-gam (trigram).</p>"
subword,<span> Từ con</span>
subword tokenization,"<p>Subword tokenization trong NLP là một loại của tokenization, nó chia đoạn văn bản thành các từ con (subword). Ví dụ: các từ như lower có thể được phân đoạn thành low-er, smartest  là smart-est, v.v.</p>"
character tokenization,"<p>Character tokenization trong NLP là một loại của tokenization, nó  phân tách từng phần văn bản thành một tập hợp các ký tự (character).</p>"
word tokenization,"<p>Word tokenization trong NLP là một loại của tokenization, là quá trình chia nhỏ một mẫu văn bản lớn thành các từ (word). Đây là một yêu cầu trong các nhiệm vụ của xử lý ngôn ngữ tự nhiên (natural language processing).</p>"
character-based vocabulary,<span> Từ vựng dựa trên ký tự</span>
vocabulary,<span> Từ vựng</span>
text corpus,<span> Ngữ liệu văn bản</span>
ordinal encoding,"<p>Trong học máy (machine learning), ordinal encoding là một loại của encoding trong đó mỗi giá trị lớp (category) duy nhất được gán một giá trị số nguyên. Ví dụ: ""đỏ"" là 1, ""xanh lá cây"" là 2 và ""xanh lam"" là 3.</p>"
ordinal variable,<span> Biến thứ tự</span>
nominal variable,<span> Biến danh nghĩa</span>
ordinal categorical variable,<span> Biến phân loại thứ tự</span>
nominal categorical variable,<span> Biến phân loại danh nghĩa</span>
feature cross,<span> Đặc trưng chéo</span>
synthetic feature,"<p>Synthetic feature là một đặc trưng (feature) không có trong số các đặc trưng đầu vào (input feature), nhưng được tạo ra từ một hoặc nhiều trong số chúng. Các loại synthetic feature bao gồm:</p>"
feature space,<span> Không gian đặc trưng</span>
linear problem,<span> Bài toán tuyến tính</span>
click-through rate,<span> Tỷ lệ nhấp</span>
feature column,"<p>Feature column là một tập hợp các đặc trưng (feature) có liên quan, chẳng hạn như tập hợp tất cả các quốc gia có thể có mà người dùng có thể sinh sống. Một mẫu (example) có thể có một hoặc nhiều đặc trưng hiện diện trong một feature column. Feature column là thuật ngữ dành riêng cho Google. Một feature column được gọi là ""namespace trong hệ thống VW (tại Yahoo / Microsoft), hoặc một trường (field).</p>"
pipeline,"<p>Pipeline là cơ sở hạ tầng xung quanh thuật toán học máy (machine learning algorithm). Bao gồm thu thập dữ liệu từ front end, đưa nó vào các tập tin dữ liệu dữ liệu huấn luyện (training data), huấn luyện (train) một hoặc nhiều mô hình (model) và xuất mô hình ra production.</p>"
objective,<p>Objective trong học máy (machine learning) là một chỉ số (metric) mà thuật toán (algorithm) của bạn đang cố gắng tối ưu hóa.</p>
feature set,<span> Tập đặc trưng</span>
neuron,<span> Nơron</span>
NaN trap,"<p>NaN trap là khi một số trong mô hình (model) của bạn trở thành NaN trong quá trình huấn luyện (training), điều này khiến nhiều hoặc tất cả các số khác trong mô hình của bạn cuối cùng trở thành NaN. NaN là chữ viết tắt của ""Not a Number.""</p>"
binary feature,<span> Đặc trưng nhị phân</span>
tricky,"<span> Phức tạp, rắc rối</span>"
bucketing,"<p>Bucketing trong học máy (machine learning) là việc chuyển đổi một đặc trưng (feature) thường là liên tục) thành nhiều đặc trưng nhị phân (binary feature) được gọi là bucket hoặc bin, thường dựa trên phạm vi giá trị (range). Ví dụ: thay vì biểu thị nhiệt độ dưới dạng một đặc trưng liên tục, bạn có thể cắt các dải nhiệt độ thành các bin riêng biệt. Với dữ liệu nhiệt độ nhạy cảm với một phần mười độ, tất cả các nhiệt độ từ 0,0 đến 15,0 độ có thể được cho vào một bin, 15,1 đến 30,0 độ có thể là bin thứ hai và 30,1 đến 50,0 độ có thể là bin thứ ba.</p>"
predictor,<p>Bạn có thể đề cập điều gì đó giúp bạn dự đoán điều gì đó sẽ xảy ra trong tương lai như một predictor về điều đó.</p>
linear relationship,<span> Mối quan hệ tuyến tính</span>
outlier,"<span> Điểm dị biệt, dữ liệu ngoại lai</span>"
feature scaling,"<p>Feature scaling là một phương pháp thường được sử dụng trong feature engineering để điều chỉnh phạm vi giá trị (range) của đặc trưng (feature) để phù hợp với phạm vi giá trị của các đặc trưng khác trong tập dữ liệu (dataset). Ví dụ: giả sử rằng bạn muốn tất cả các đặc trưng trong tập dữ liệu có phạm vi giá  trị từ 0 đến 1. Với phạm vi từ 0 đến 500 của một đặc trưng cụ thể, bạn có thể scale đặc trưng đó bằng cách chia mỗi giá trị cho 500 ta được phạm vi giá trị từ 0 đến 1. Trong xử lý dữ liệu (data processing), nó còn được gọi là chuẩn hóa dữ liệu (data normalization).</p>"
missing value,"<p>Giá trị thiếu (missing value) xảy ra khi bạn không có dữ liệu được lưu trữ. Dữ liệu có thể bị thiếu do nhập dữ liệu không đầy đủ, thiết bị trục trặc và nhiều lý do khác. Trong bất kỳ tập dữ liệu (dataset) nào, thường có một số dữ liệu bị thiếu.</p>"
saturation,<span> Độ rực màu</span>
unresponsive,<span> Không phản hồi</span>
TCP SYN flood,"<p>TCP SYN flood (còn gọi là SYN flood) là một loại tấn công từ chối dịch vụ phân tán (distributed denial of service - viết tắt DDoS) khai thác một phần của quá trình bắt tay ba bước (three-way handshake) thông thường để tiêu thụ (consume) tài nguyên (resource) trên máy chủ (server) mục tiêu và khiến nó không phản hồi (unresponsive). Về cơ bản, kẻ tấn công sẽ gửi các yêu cầu kết nối TCP nhanh hơn mức mà máy chủ mục tiêu có thể xử lý chúng, gây ra bão hòa (saturation) mạng.</p>"
transparent proxy,"<p>Transparent proxy là một máy chủ (server) chặn kết nối giữa người dùng cuối hoặc thiết bị và internet. Nó được gọi là ""minh bạch"" (transparent ) vì nó làm như vậy mà không cần sửa đổi các yêu cầu (request) và phản hồi (response).</p>"
DNS query,<span> Truy vấn DNS</span>
DNS leak,<span> Rò rỉ DNS</span>
sparse feature,<span> Đặc trưng thưa</span>
dense feature,<span> Đặc trưng dày</span>
sparse vector,<span> Vector thưa</span>
discrete variable,<span> Biến rời rạc</span>
continuous feature,<span> Đặc trưng liên tục</span>
discrete feature,<span> Đặc trưng rời rạc</span>
categorical feature,<p>Đặc trưng phân loại (categorical feature) trong học máy (machine learning) là đặc trưng (feature) mà giá trị của nó thuộc dữ liệu phân loại (categorical data).</p>
trivial,<span> Bình thường</span>
feature vector,<span> Vectơ đặc trưng</span>
feature engineering,<p>Feature engineering là quá trình xác định đặc trưng (feature) nào có thể hữu ích trong việc huấn luyện mô hình (model) và sau đó chuyển dữ liệu thô (raw data) thành các đặc trưng (feature) đã xác định. Mục đích của feature engineering là chuẩn bị một tập dữ liệu đầu vào phù hợp nhất với thuật toán học máy (machine learning algorithm) cũng như để nâng cao hiệu suất (performance) của các mô hình học máy.</p>
panacea,<span> Thuốc chữa bách bệnh</span>
proxy,<span> Uỷ nhiệm</span>
data at rest,<span> Dữ liệu ở phần còn lại</span>
data privacy,<span> Quyền riêng tư dữ liệu</span>
data protection,<span> Bảo vệ dữ liệu</span>
classification accuracy,<span> Độ chính xác phân loại</span>
historical data,"<span> Dữ kiện lịch sử, dữ liệu lịch sử</span>"
input variable,<span> Biến đầu vào</span>
dimensionality reduction,<span> Giảm chiều dữ liệu</span>
IID,<p>IID viếc tắt của independent and identically distributed.</p>
independent and identically distributed,<span> Độc lập và có phân phối giống nhau</span>
dimensionality,<span> Chiều</span>
stationarity,<span> Tính ổn định</span>
page source,<span> Nguồn trang</span>
noise,"<p>Nhiễu (noise) là các mục dữ liệu (data item), đặc trưng (feature) hoặc bản ghi (record) không mong muốn không giúp giải thích bản thân đặc trưng hoặc mối quan hệ giữa đặc trưng và nhãn (label). Nhiễu (noise) thường khiến các thuật toán bỏ sót các mẫu (pattern) trong dữ liệu.</p>"
noisy data,<span> Dữ liệu nhiễu</span>
mini-batch,"<p>Mini-batch trong học máy (machine learning) là một tập hợp con nhỏ, được chọn ngẫu nhiên của toàn bộ batch các ví dụ (example) chạy cùng nhau trong một lần lặp lại huấn luyện (training) hoặc suy luận (inference). Batch size  của một mini-batch thường từ 10 đến 1.000. Tính toán loss trên một mini-batch hiệu quả hơn nhiều so với trên tập dữ liệu huấn luyện (training data) đầy đủ.</p>"
batch size,"<p>Batch size là số lượng mẫu (example) trong một batch. Ví dụ: batch size của SGD là 1, trong khi batch size của một mini-batch  thường từ 10 đến 1000. Batch size thường được cố định trong quá trình huấn luyện (training ) và suy luận (inference). Tuy nhiên, TensorFlow cho phép batch size động.</p>"
batch,"<p>Trong gradient descent, batch là tổng số mẫu (example) bạn sử dụng để tính toán gradient trong một lần lặp.</p>"
Goldilocks learning rate,<span> Tốc độ học Goldilocks</span>
loss curve,"<p>Loss curve là đường cong của hàm lost (lost function). Loss curve đang đi xuống một cách trơn tru, có nghĩa là mô hình (model) của bạn được cải thiện khi nó đang được huấn luyện (trainning).</p>"
magnitude,<span> Độ lớn</span>
gradient,"<p>Trong học máy (machine learning), gradient là đạo hàm (derivative) của một hàm có nhiều hơn một biến đầu vào (input variable). Được gọi là độ dốc (slope) của một hàm (function) theo thuật ngữ toán học, gradient chỉ đơn giản là đo lường sự thay đổi của tất cả các trọng số (weight) liên quan đến sự thay đổi của sai số.</p>"
ground truth,"<p>Ground truth là thông tin được biết là có thật hoặc có thật, được cung cấp bởi quan sát và đo lường trực tiếp (tức là bằng chứng thực nghiệm) chứ không phải thông tin được cung cấp bởi suy luận. Chẳng hạn như hình ảnh được gắn nhãn bằng tay của con người, nó là dữ liệu mà chúng ta có thể tin tưởng là đúng.</p>"
confusion matrix,<span> Ma trận nhầm lẫn</span>
minimum,<span> Cực tiểu</span>
step size,<p>Step size trong học máy (machine learning) đồng nghĩa với tốc độ học (learning rate).</p>
gradient descent,"<p>Gradient descent là một kỹ thuật để giảm thiểu loss bằng cách tính toán các gradient của loss đối với các tham số (parameter) của mô hình (model) với điều kiện dựa trên tập dữ liệu huấn luyện (training data). Gradient descent điều chỉnh lặp đi lặp lại các tham số, dần dần tìm ra sự kết hợp tốt nhất giữa trọng số (weight) và độ lệch (bias) để giảm thiểu loss.</p>"
underfitting,"<p>Underfitting trong học máy (machine learning) là việc tạo một mô hình (model ) có khả năng dự đoán kém vì mô hình chưa nắm bắt được độ phức tạp của tập dữ liệu huấn luyện (training data). Nhiều vấn đề có thể gây ra underfitting, bao gồm:</p>"
overfitting,<p>Overfitting trong học máy (machine learning) là tạo một mô hình (model) khớp với tập dữ liệu huấn luyện (training data) đến mức mô hình không đưa ra dự đoán chính xác về dữ liệu mới.</p>
model fitting,<p>Model fitting là thước đo mức độ mô hình học máy (machine learning model) tổng quát hóa dữ liệu tương tự như mô hình được huấn luyện. Một model fitting tốt đề cập đến một mô hình xấp xỉ chính xác đầu ra khi nó được cung cấp các đầu vào chưa được nhìn thấy (unseen input).</p>
fitting,"<p>Fitting đề cập đến việc điều chỉnh các tham số (parameter) trong mô hình (model) để cải thiện độ chính xác (accuracy). Quá trình này liên quan đến việc chạy một thuật toán trên dữ liệu mà biến mục tiêu (target variable - dữ liệu được gắn nhãn) được biết là để tạo ra một mô hình học máy (machine learning model). Sau đó, kết quả của mô hình được so sánh với giá trị thực, quan sát được của biến mục tiêu để xác định độ chính xác.</p>"
validation loss,<p>Validation loss cho biết mô hình (model) phù hợp (fit) với dữ liệu mới như thế nào.</p>
training loss,<p>Training loss cho biết mô hình (model) phù hợp (fit) với tập dữ liệu huấn luyện (training data) tốt như thế nào.</p>
bag of words,<span> Túi từ</span>
convergence,<span> Hội tụ</span>
plug,"<p>Plug thường đề cập đến việc thay thế một biến bằng một giá trị. Ví dụ với hàm y = 3x + 5, nếu ta plug 2 vào x nghĩa là thay thế x bằng giá trị bằng 3 ta được y = 3.2 + 5.</p>"
commodity hardware,<span> Phần cứng thông thường</span>
target value,<span> Giá trị mục tiêu</span>
output feature,<span> Đặc trưng đầu ra</span>
input feature,<span> Đặc trưng đầu vào</span>
true value,<span> Giá trị thực</span>
mean squared error,<span> Sai số toàn phương trung bình</span>
empirical risk minimization,"<p>Trong học có giám sát (supervised learning), thuật toán học máy (machine learning algorithm) xây dựng một mô hình (model) bằng cách xem xét nhiều mẫu (example) và cố gắng tìm ra một mô hình giảm thiểu mất mát (loss), quá trình này được gọi là empirical risk minimization.</p>"
bias,<span> Độ lệch</span>
multivariable linear regression,<span> Hồi quy tuyến tính đa biến</span>
simple linear regression,<span> Hồi quy tuyến tính đơn giản</span>
linear regression,<span> Hồi quy tuyến tính</span>
infer,"<p>Suy ra (infer) là từ đồng nghĩa của dự đoán (predict). Ví dụ trong học máy (machine learning) chúng ta có các thuộc tính (attribute) đầu vào của dữ liệu mới đến, chúng ta suy ra nhãn (label)</p>"
classification model,<span> Mô hình phân loại</span>
regression mode,<span> Mô hình hồi quy</span>
inference,<span> Suy luận</span>
unlabeled example,<span> Ví dụ không được gắn nhãn</span>
labeled example,<span> Mẫu được gắn nhãn</span>
example,<span> Mẫu</span>
binary classification,<span> Phân loại nhị phân</span>
commodity,<span> Bán sẵn</span>
block device,<p>Block device là cách kernel của Linux giao tiếp với một thiết bị gửi và nhận các khối dữ liệu. Block device thường là đĩa cứng (hard disk) hoặc thiết bị lưu trữ có thể tháo rời (removable storage device).</p>
binary executable,<p>Binary executable là một cách khác để chỉ một chương trình đã được biên dịch (compile).</p>
closed source,<span> Mã nguồn đóng</span>
learning algorithm,<span> Thuật toán học</span>
hyperparameter,<span> Siêu tham số</span>
joint probability,<span> Xác suất kết hợp</span>
sample space,<span> Không gian mẫu</span>
outcome,<span> Kết quả đầu ra</span>
probability distribution,<span> Phân phối xác suất</span>
categorical variable,<span> Biến phân loại</span>
continuous variable,<span> Biến liên tục</span>
predictor variable,<span> Biến dự báo</span>
quantitative data,<span> Dữ liệu định lượng</span>
target variable,<span> Biến mục tiêu</span>
squared loss,"<p>Squared loss trong học máy (machine learning) là một hàm mất mát (loss function), trong đó chúng ta dự đoán một biến (variable) có giá trị thực y với một biến đầu vào x. Squared loss cho một ví dụ (example) như sau:</p>"
feature selection,<span> Lựa chọn đặc trưng</span>
clustering,<span> Phân cụm</span>
loss,"<p>Loss trong học máy (machine learning) là một con số cho thấy dự đoán (prediction) của mô hình (model) tồi tệ như thế nào đối với một mẫu (example) duy nhất. Nếu dự đoán của mô hình là hoàn hảo thì loss  bằng 0, nếu không loss còn lớn hơn. Mục tiêu của việc huấn luyện (training) một mô hình (model) là tìm ra một tập hợp các trọng số (weight) và độ lệch (bias) có loss trung bình thấp trên tất cả các mẫu. Ví dụ: trong hình cho thấy mô hình loss cao ở bên trái và mô hình loss  thấp ở bên phải. Lưu ý những điều sau về hình:</p>"
class label,<span> Nhãn lớp</span>
fold,"<p>Fold trong học máy (machine learning) là một tập hợp các bản ghi (thường là liên tiếp) của tập dữ liệu (dataset). Ý tưởng của k-fold cross-validation là chia tập dữ liệu thành một số fold cố định. Ví dụ: nếu chúng ta có 100 bản ghi, chúng ta có thể chia chúng thành 2 fold thì mỗi fold 50 bản ghi,10 fold thì mỗi fold 10 bản ghi, v.v.</p>"
cross-validation,"<p>Trong học máy (machine learning), cross-validation hoặc k-fold cross-validation là khi tập dữ liệu (dataset) được chia ngẫu nhiên thành k nhóm (nhóm ở đây còn gọi là fold). Một trong các nhóm được sử dụng làm tập thử nghiệm (test set) và nhóm còn lại được sử dụng làm tập huấn luyện (training set). Mô hình (model) được huấn luyện (train) trên tập huấn luyện và cho điểm trên tập thử nghiệm. Sau đó, quá trình này được lặp lại cho đến khi từng nhóm duy nhất được sử dụng làm tạp thử nghiệm.</p>"
hold-out,<p>Hold-out trong học máy (machine learning) là khi bạn chia nhỏ tập dữ liệu (dataset) của mình thành tập huấn luyện (training set) và tập thử nghiệm (test set). Tập huấn luyện là những gì mô hình  (model) được huấn luyện (train) và tập thử nghiệm được sử dụng để xem mô hình đó hoạt động tốt như thế nào trên dữ liệu không nhìn thấy. Sự phân chia phổ biến khi sử dụng phương pháp hold-out là sử dụng 80% dữ liệu để huấn luyện và 20% dữ liệu còn lại để kiểm tra.</p>
classification,<span> Phân loại</span>
model selection,<span> Lựa chọn mô hình</span>
model evaluation,<span> Đánh giá mô hình</span>
loss function,<span> Hàm mất mát</span>
supervised learning,<span> Học có giám sám</span>
ready suspended state,<span> Trạng thái sẵn sàng bị treo</span>
waiting state,<span> Trạng thái chờ</span>
waiting suspended state,<p>Khi hàng đợi (queue) của hệ thống đầy thì một số tiến trình (process) sẽ được chuyển sang waiting suspended state.</p>
running state,<span> Trạng thái hoạt động</span>
ready state,<span> Trạng thái sẵn sàng</span>
